# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-12-06 09:02:17 -05:00	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13022500 SNAKE RIVER ABOVE RESERVOIR, NEAR ALPINE, WY
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 13022500
#    TS_ID       Parameter Description
#    337977      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	337977_00065	337977_00065_cd
USGS	13022500	2024-11-29 14:45	MST	2.64	P
USGS	13022500	2024-11-29 15:00	MST	2.64	P
USGS	13022500	2024-11-29 15:15	MST	2.63	P
USGS	13022500	2024-11-29 15:30	MST	2.63	P
USGS	13022500	2024-11-29 15:45	MST	2.62	P
USGS	13022500	2024-11-29 16:00	MST	2.62	P
USGS	13022500	2024-11-29 16:15	MST	2.62	P
USGS	13022500	2024-11-29 16:30	MST	2.62	P
USGS	13022500	2024-11-29 16:45	MST	2.62	P
USGS	13022500	2024-11-29 17:00	MST	2.62	P
USGS	13022500	2024-11-29 17:15	MST	2.62	P
USGS	13022500	2024-11-29 17:30	MST	2.62	P
USGS	13022500	2024-11-29 17:45	MST	2.62	P
USGS	13022500	2024-11-29 18:00	MST	2.63	P
USGS	13022500	2024-11-29 18:15	MST	2.63	P
USGS	13022500	2024-11-29 18:30	MST	2.63	P
USGS	13022500	2024-11-29 18:45	MST	2.62	P
USGS	13022500	2024-11-29 19:00	MST	2.62	P
USGS	13022500	2024-11-29 19:15	MST	2.62	P
USGS	13022500	2024-11-29 19:30	MST	2.61	P
USGS	13022500	2024-11-29 19:45	MST	2.61	P
USGS	13022500	2024-11-29 20:00	MST	2.62	P
USGS	13022500	2024-11-29 20:15	MST	2.62	P
USGS	13022500	2024-11-29 20:30	MST	2.62	P
USGS	13022500	2024-11-29 20:45	MST	2.62	P
USGS	13022500	2024-11-29 21:00	MST	2.63	P
USGS	13022500	2024-11-29 21:15	MST	2.64	P
USGS	13022500	2024-11-29 21:30	MST	2.64	P
USGS	13022500	2024-11-29 21:45	MST	2.65	P
USGS	13022500	2024-11-29 22:00	MST	2.65	P
USGS	13022500	2024-11-29 22:15	MST	2.66	P
USGS	13022500	2024-11-29 22:30	MST	2.67	P
USGS	13022500	2024-11-29 22:45	MST	2.69	P
USGS	13022500	2024-11-29 23:00	MST	2.70	P
USGS	13022500	2024-11-29 23:15	MST	2.72	P
USGS	13022500	2024-11-29 23:30	MST	2.73	P
USGS	13022500	2024-11-29 23:45	MST	2.74	P
USGS	13022500	2024-11-30 00:00	MST	2.74	P
USGS	13022500	2024-11-30 00:15	MST	2.74	P
USGS	13022500	2024-11-30 00:30	MST	2.74	P
USGS	13022500	2024-11-30 00:45	MST	2.74	P
USGS	13022500	2024-11-30 01:00	MST	2.74	P
USGS	13022500	2024-11-30 01:15	MST	2.74	P
USGS	13022500	2024-11-30 01:30	MST	2.73	P
USGS	13022500	2024-11-30 01:45	MST	2.73	P
USGS	13022500	2024-11-30 02:00	MST	2.73	P
USGS	13022500	2024-11-30 02:15	MST	2.73	P
USGS	13022500	2024-11-30 02:30	MST	2.73	P
USGS	13022500	2024-11-30 02:45	MST	2.73	P
USGS	13022500	2024-11-30 03:00	MST	2.73	P
USGS	13022500	2024-11-30 03:15	MST	2.74	P
USGS	13022500	2024-11-30 03:30	MST	2.73	P
USGS	13022500	2024-11-30 03:45	MST	2.73	P
USGS	13022500	2024-11-30 04:00	MST	2.73	P
USGS	13022500	2024-11-30 04:15	MST	2.73	P
USGS	13022500	2024-11-30 04:30	MST	2.73	P
USGS	13022500	2024-11-30 04:45	MST	2.73	P
USGS	13022500	2024-11-30 05:00	MST	2.72	P
USGS	13022500	2024-11-30 05:15	MST	2.72	P
USGS	13022500	2024-11-30 05:30	MST	2.71	P
USGS	13022500	2024-11-30 05:45	MST	2.71	P
USGS	13022500	2024-11-30 06:00	MST	2.70	P
USGS	13022500	2024-11-30 06:15	MST	2.70	P
USGS	13022500	2024-11-30 06:30	MST	2.70	P
USGS	13022500	2024-11-30 06:45	MST	2.69	P
USGS	13022500	2024-11-30 07:00	MST	2.69	P
USGS	13022500	2024-11-30 07:15	MST	2.69	P
USGS	13022500	2024-11-30 07:30	MST	2.68	P
USGS	13022500	2024-11-30 07:45	MST	2.68	P
USGS	13022500	2024-11-30 08:00	MST	2.68	P
USGS	13022500	2024-11-30 08:15	MST	2.68	P
USGS	13022500	2024-11-30 08:30	MST	2.68	P
USGS	13022500	2024-11-30 08:45	MST	2.67	P
USGS	13022500	2024-11-30 09:00	MST	2.67	P
USGS	13022500	2024-11-30 09:15	MST	2.67	P
USGS	13022500	2024-11-30 09:30	MST	2.67	P
USGS	13022500	2024-11-30 09:45	MST	2.67	P
USGS	13022500	2024-11-30 10:00	MST	2.67	P
USGS	13022500	2024-11-30 10:15	MST	2.68	P
USGS	13022500	2024-11-30 10:30	MST	2.68	P
USGS	13022500	2024-11-30 10:45	MST	2.68	P
USGS	13022500	2024-11-30 11:00	MST	2.69	P
USGS	13022500	2024-11-30 11:15	MST	2.69	P
USGS	13022500	2024-11-30 11:30	MST	2.70	P
USGS	13022500	2024-11-30 11:45	MST	2.71	P
USGS	13022500	2024-11-30 12:00	MST	2.72	P
USGS	13022500	2024-11-30 12:15	MST	2.72	P
USGS	13022500	2024-11-30 12:30	MST	2.71	P
USGS	13022500	2024-11-30 12:45	MST	2.70	P
USGS	13022500	2024-11-30 13:00	MST	2.69	P
USGS	13022500	2024-11-30 13:15	MST	2.68	P
USGS	13022500	2024-11-30 13:30	MST	2.67	P
USGS	13022500	2024-11-30 13:45	MST	2.66	P
USGS	13022500	2024-11-30 14:00	MST	2.65	P
USGS	13022500	2024-11-30 14:15	MST	2.64	P
USGS	13022500	2024-11-30 14:30	MST	2.63	P
USGS	13022500	2024-11-30 14:45	MST	2.62	P
USGS	13022500	2024-11-30 15:00	MST	2.62	P
USGS	13022500	2024-11-30 15:15	MST	2.61	P
USGS	13022500	2024-11-30 15:30	MST	2.60	P
USGS	13022500	2024-11-30 15:45	MST	2.60	P
USGS	13022500	2024-11-30 16:00	MST	2.60	P
USGS	13022500	2024-11-30 16:15	MST	2.60	P
USGS	13022500	2024-11-30 16:30	MST	2.60	P
USGS	13022500	2024-11-30 16:45	MST	2.60	P
USGS	13022500	2024-11-30 17:00	MST	2.60	P
USGS	13022500	2024-11-30 17:15	MST	2.60	P
USGS	13022500	2024-11-30 17:30	MST	2.60	P
USGS	13022500	2024-11-30 17:45	MST	2.60	P
USGS	13022500	2024-11-30 18:00	MST	2.60	P
USGS	13022500	2024-11-30 18:15	MST	2.59	P
USGS	13022500	2024-11-30 18:30	MST	2.59	P
USGS	13022500	2024-11-30 18:45	MST	2.59	P
USGS	13022500	2024-11-30 19:00	MST	2.59	P
USGS	13022500	2024-11-30 19:15	MST	2.59	P
USGS	13022500	2024-11-30 19:30	MST	2.58	P
USGS	13022500	2024-11-30 19:45	MST	2.58	P
USGS	13022500	2024-11-30 20:00	MST	2.58	P
USGS	13022500	2024-11-30 20:15	MST	2.58	P
USGS	13022500	2024-11-30 20:30	MST	2.58	P
USGS	13022500	2024-11-30 20:45	MST	2.58	P
USGS	13022500	2024-11-30 21:00	MST	2.58	P
USGS	13022500	2024-11-30 21:15	MST	2.59	P
USGS	13022500	2024-11-30 21:30	MST	2.60	P
USGS	13022500	2024-11-30 21:45	MST	2.61	P
USGS	13022500	2024-11-30 22:00	MST	2.64	P
USGS	13022500	2024-11-30 22:15	MST	2.67	P
USGS	13022500	2024-11-30 22:30	MST	2.69	P
USGS	13022500	2024-11-30 22:45	MST	2.70	P
USGS	13022500	2024-11-30 23:00	MST	2.70	P
USGS	13022500	2024-11-30 23:15	MST	2.70	P
USGS	13022500	2024-11-30 23:30	MST	2.70	P
USGS	13022500	2024-11-30 23:45	MST	2.70	P
USGS	13022500	2024-12-01 00:00	MST	2.70	P
USGS	13022500	2024-12-01 00:15	MST	2.69	P
USGS	13022500	2024-12-01 00:30	MST	2.69	P
USGS	13022500	2024-12-01 00:45	MST	2.69	P
USGS	13022500	2024-12-01 01:00	MST	2.69	P
USGS	13022500	2024-12-01 01:15	MST	2.68	P
USGS	13022500	2024-12-01 01:30	MST	2.68	P
USGS	13022500	2024-12-01 01:45	MST	2.68	P
USGS	13022500	2024-12-01 02:00	MST	2.68	P
USGS	13022500	2024-12-01 02:15	MST	2.68	P
USGS	13022500	2024-12-01 02:30	MST	2.68	P
USGS	13022500	2024-12-01 02:45	MST	2.68	P
USGS	13022500	2024-12-01 03:00	MST	2.68	P
USGS	13022500	2024-12-01 03:15	MST	2.68	P
USGS	13022500	2024-12-01 03:30	MST	2.68	P
USGS	13022500	2024-12-01 03:45	MST	2.68	P
USGS	13022500	2024-12-01 04:00	MST	2.68	P
USGS	13022500	2024-12-01 04:15	MST	2.68	P
USGS	13022500	2024-12-01 04:30	MST	2.69	P
USGS	13022500	2024-12-01 04:45	MST	2.69	P
USGS	13022500	2024-12-01 05:00	MST	2.70	P
USGS	13022500	2024-12-01 05:15	MST	2.70	P
USGS	13022500	2024-12-01 05:30	MST	2.70	P
USGS	13022500	2024-12-01 05:45	MST	2.70	P
USGS	13022500	2024-12-01 06:00	MST	2.70	P
USGS	13022500	2024-12-01 06:15	MST	2.70	P
USGS	13022500	2024-12-01 06:30	MST	2.69	P
USGS	13022500	2024-12-01 06:45	MST	2.69	P
USGS	13022500	2024-12-01 07:00	MST	2.68	P
USGS	13022500	2024-12-01 07:15	MST	2.68	P
USGS	13022500	2024-12-01 07:30	MST	2.67	P
USGS	13022500	2024-12-01 07:45	MST	2.66	P
USGS	13022500	2024-12-01 08:00	MST	2.66	P
USGS	13022500	2024-12-01 08:15	MST	2.65	P
USGS	13022500	2024-12-01 08:30	MST	2.65	P
USGS	13022500	2024-12-01 08:45	MST	2.65	P
USGS	13022500	2024-12-01 09:00	MST	2.65	P
USGS	13022500	2024-12-01 09:15	MST	2.65	P
USGS	13022500	2024-12-01 09:30	MST	2.64	P
USGS	13022500	2024-12-01 09:45	MST	2.64	P
USGS	13022500	2024-12-01 10:00	MST	2.64	P
USGS	13022500	2024-12-01 10:15	MST	2.64	P
USGS	13022500	2024-12-01 10:30	MST	2.64	P
USGS	13022500	2024-12-01 10:45	MST	2.65	P
USGS	13022500	2024-12-01 11:00	MST	2.65	P
USGS	13022500	2024-12-01 11:15	MST	2.66	P
USGS	13022500	2024-12-01 11:30	MST	2.66	P
USGS	13022500	2024-12-01 11:45	MST	2.67	P
USGS	13022500	2024-12-01 12:00	MST	2.68	P
USGS	13022500	2024-12-01 12:15	MST	2.69	P
USGS	13022500	2024-12-01 12:30	MST	2.69	P
USGS	13022500	2024-12-01 12:45	MST	2.68	P
USGS	13022500	2024-12-01 13:00	MST	2.68	P
USGS	13022500	2024-12-01 13:15	MST	2.67	P
USGS	13022500	2024-12-01 13:30	MST	2.67	P
USGS	13022500	2024-12-01 13:45	MST	2.67	P
USGS	13022500	2024-12-01 14:00	MST	2.66	P
USGS	13022500	2024-12-01 14:15	MST	2.66	P
USGS	13022500	2024-12-01 14:30	MST	2.65	P
USGS	13022500	2024-12-01 14:45	MST	2.64	P
USGS	13022500	2024-12-01 15:00	MST	2.64	P
USGS	13022500	2024-12-01 15:15	MST	2.63	P
USGS	13022500	2024-12-01 15:30	MST	2.63	P
USGS	13022500	2024-12-01 15:45	MST	2.62	P
USGS	13022500	2024-12-01 16:00	MST	2.62	P
USGS	13022500	2024-12-01 16:15	MST	2.62	P
USGS	13022500	2024-12-01 16:30	MST	2.61	P
USGS	13022500	2024-12-01 16:45	MST	2.61	P
USGS	13022500	2024-12-01 17:00	MST	2.61	P
USGS	13022500	2024-12-01 17:15	MST	2.60	P
USGS	13022500	2024-12-01 17:30	MST	2.60	P
USGS	13022500	2024-12-01 17:45	MST	2.59	P
USGS	13022500	2024-12-01 18:00	MST	2.59	P
USGS	13022500	2024-12-01 18:15	MST	2.59	P
USGS	13022500	2024-12-01 18:30	MST	2.58	P
USGS	13022500	2024-12-01 18:45	MST	2.58	P
USGS	13022500	2024-12-01 19:00	MST	2.58	P
USGS	13022500	2024-12-01 19:15	MST	2.58	P
USGS	13022500	2024-12-01 19:30	MST	2.58	P
USGS	13022500	2024-12-01 19:45	MST	2.59	P
USGS	13022500	2024-12-01 20:00	MST	2.59	P
USGS	13022500	2024-12-01 20:15	MST	2.59	P
USGS	13022500	2024-12-01 20:30	MST	2.60	P
USGS	13022500	2024-12-01 20:45	MST	2.60	P
USGS	13022500	2024-12-01 21:00	MST	2.60	P
USGS	13022500	2024-12-01 21:15	MST	2.61	P
USGS	13022500	2024-12-01 21:30	MST	2.62	P
USGS	13022500	2024-12-01 21:45	MST	2.62	P
USGS	13022500	2024-12-01 22:00	MST	2.63	P
USGS	13022500	2024-12-01 22:15	MST	2.64	P
USGS	13022500	2024-12-01 22:30	MST	2.65	P
USGS	13022500	2024-12-01 22:45	MST	2.65	P
USGS	13022500	2024-12-01 23:00	MST	2.66	P
USGS	13022500	2024-12-01 23:15	MST	2.66	P
USGS	13022500	2024-12-01 23:30	MST	2.67	P
USGS	13022500	2024-12-01 23:45	MST	2.67	P
USGS	13022500	2024-12-02 00:00	MST	2.67	P
USGS	13022500	2024-12-02 00:15	MST	2.67	P
USGS	13022500	2024-12-02 00:30	MST	2.67	P
USGS	13022500	2024-12-02 00:45	MST	2.67	P
USGS	13022500	2024-12-02 01:00	MST	2.67	P
USGS	13022500	2024-12-02 01:15	MST	2.66	P
USGS	13022500	2024-12-02 01:30	MST	2.67	P
USGS	13022500	2024-12-02 01:45	MST	2.66	P
USGS	13022500	2024-12-02 02:00	MST	2.66	P
USGS	13022500	2024-12-02 02:15	MST	2.66	P
USGS	13022500	2024-12-02 02:30	MST	2.66	P
USGS	13022500	2024-12-02 02:45	MST	2.66	P
USGS	13022500	2024-12-02 03:00	MST	2.66	P
USGS	13022500	2024-12-02 03:15	MST	2.66	P
USGS	13022500	2024-12-02 03:30	MST	2.66	P
USGS	13022500	2024-12-02 03:45	MST	2.66	P
USGS	13022500	2024-12-02 04:00	MST	2.66	P
USGS	13022500	2024-12-02 04:15	MST	2.66	P
USGS	13022500	2024-12-02 04:30	MST	2.66	P
USGS	13022500	2024-12-02 04:45	MST	2.66	P
USGS	13022500	2024-12-02 05:00	MST	2.66	P
USGS	13022500	2024-12-02 05:15	MST	2.66	P
USGS	13022500	2024-12-02 05:30	MST	2.65	P
USGS	13022500	2024-12-02 05:45	MST	2.65	P
USGS	13022500	2024-12-02 06:00	MST	2.65	P
USGS	13022500	2024-12-02 06:15	MST	2.65	P
USGS	13022500	2024-12-02 06:30	MST	2.64	P
USGS	13022500	2024-12-02 06:45	MST	2.64	P
USGS	13022500	2024-12-02 07:00	MST	2.64	P
USGS	13022500	2024-12-02 07:15	MST	2.64	P
USGS	13022500	2024-12-02 07:30	MST	2.64	P
USGS	13022500	2024-12-02 07:45	MST	2.64	P
USGS	13022500	2024-12-02 08:00	MST	2.64	P
USGS	13022500	2024-12-02 08:15	MST	2.63	P
USGS	13022500	2024-12-02 08:30	MST	2.63	P
USGS	13022500	2024-12-02 08:45	MST	2.63	P
USGS	13022500	2024-12-02 09:00	MST	2.63	P
USGS	13022500	2024-12-02 09:15	MST	2.63	P
USGS	13022500	2024-12-02 09:30	MST	2.63	P
USGS	13022500	2024-12-02 09:45	MST	2.63	P
USGS	13022500	2024-12-02 10:00	MST	2.63	P
USGS	13022500	2024-12-02 10:15	MST	2.63	P
USGS	13022500	2024-12-02 10:30	MST	2.63	P
USGS	13022500	2024-12-02 10:45	MST	2.64	P
USGS	13022500	2024-12-02 11:00	MST	2.64	P
USGS	13022500	2024-12-02 11:15	MST	2.65	P
USGS	13022500	2024-12-02 11:30	MST	2.66	P
USGS	13022500	2024-12-02 11:45	MST	2.66	P
USGS	13022500	2024-12-02 12:00	MST	2.67	P
USGS	13022500	2024-12-02 12:15	MST	2.68	P
USGS	13022500	2024-12-02 12:30	MST	2.68	P
USGS	13022500	2024-12-02 12:45	MST	2.68	P
USGS	13022500	2024-12-02 13:00	MST	2.68	P
USGS	13022500	2024-12-02 13:15	MST	2.67	P
USGS	13022500	2024-12-02 13:30	MST	2.67	P
USGS	13022500	2024-12-02 13:45	MST	2.66	P
USGS	13022500	2024-12-02 14:00	MST	2.66	P
USGS	13022500	2024-12-02 14:15	MST	2.66	P
USGS	13022500	2024-12-02 14:30	MST	2.66	P
USGS	13022500	2024-12-02 14:45	MST	2.65	P
USGS	13022500	2024-12-02 15:00	MST	2.64	P
USGS	13022500	2024-12-02 15:15	MST	2.64	P
USGS	13022500	2024-12-02 15:30	MST	2.63	P
USGS	13022500	2024-12-02 15:45	MST	2.63	P
USGS	13022500	2024-12-02 16:00	MST	2.63	P
USGS	13022500	2024-12-02 16:15	MST	2.62	P
USGS	13022500	2024-12-02 16:30	MST	2.62	P
USGS	13022500	2024-12-02 16:45	MST	2.62	P
USGS	13022500	2024-12-02 17:00	MST	2.62	P
USGS	13022500	2024-12-02 17:15	MST	2.61	P
USGS	13022500	2024-12-02 17:30	MST	2.61	P
USGS	13022500	2024-12-02 17:45	MST	2.61	P
USGS	13022500	2024-12-02 18:00	MST	2.60	P
USGS	13022500	2024-12-02 18:15	MST	2.60	P
USGS	13022500	2024-12-02 18:30	MST	2.60	P
USGS	13022500	2024-12-02 18:45	MST	2.59	P
USGS	13022500	2024-12-02 19:00	MST	2.59	P
USGS	13022500	2024-12-02 19:15	MST	2.59	P
USGS	13022500	2024-12-02 19:30	MST	2.59	P
USGS	13022500	2024-12-02 19:45	MST	2.59	P
USGS	13022500	2024-12-02 20:00	MST	2.59	P
USGS	13022500	2024-12-02 20:15	MST	2.59	P
USGS	13022500	2024-12-02 20:30	MST	2.59	P
USGS	13022500	2024-12-02 20:45	MST	2.60	P
USGS	13022500	2024-12-02 21:00	MST	2.60	P
USGS	13022500	2024-12-02 21:15	MST	2.61	P
USGS	13022500	2024-12-02 21:30	MST	2.61	P
USGS	13022500	2024-12-02 21:45	MST	2.62	P
USGS	13022500	2024-12-02 22:00	MST	2.63	P
USGS	13022500	2024-12-02 22:15	MST	2.64	P
USGS	13022500	2024-12-02 22:30	MST	2.65	P
USGS	13022500	2024-12-02 22:45	MST	2.66	P
USGS	13022500	2024-12-02 23:00	MST	2.67	P
USGS	13022500	2024-12-02 23:15	MST	2.68	P
USGS	13022500	2024-12-02 23:30	MST	2.69	P
USGS	13022500	2024-12-02 23:45	MST	2.70	P
USGS	13022500	2024-12-03 00:00	MST	2.70	P
USGS	13022500	2024-12-03 00:15	MST	2.70	P
USGS	13022500	2024-12-03 00:30	MST	2.69	P
USGS	13022500	2024-12-03 00:45	MST	2.68	P
USGS	13022500	2024-12-03 01:00	MST	2.68	P
USGS	13022500	2024-12-03 01:15	MST	2.67	P
USGS	13022500	2024-12-03 01:30	MST	2.67	P
USGS	13022500	2024-12-03 01:45	MST	2.67	P
USGS	13022500	2024-12-03 02:00	MST	2.67	P
USGS	13022500	2024-12-03 02:15	MST	2.67	P
USGS	13022500	2024-12-03 02:30	MST	2.67	P
USGS	13022500	2024-12-03 02:45	MST	2.67	P
USGS	13022500	2024-12-03 03:00	MST	2.67	P
USGS	13022500	2024-12-03 03:15	MST	2.67	P
USGS	13022500	2024-12-03 03:30	MST	2.67	P
USGS	13022500	2024-12-03 03:45	MST	2.67	P
USGS	13022500	2024-12-03 04:00	MST	2.66	P
USGS	13022500	2024-12-03 04:15	MST	2.66	P
USGS	13022500	2024-12-03 04:30	MST	2.66	P
USGS	13022500	2024-12-03 04:45	MST	2.65	P
USGS	13022500	2024-12-03 05:00	MST	2.65	P
USGS	13022500	2024-12-03 05:15	MST	2.65	P
USGS	13022500	2024-12-03 05:30	MST	2.64	P
USGS	13022500	2024-12-03 05:45	MST	2.64	P
USGS	13022500	2024-12-03 06:00	MST	2.64	P
USGS	13022500	2024-12-03 06:15	MST	2.63	P
USGS	13022500	2024-12-03 06:30	MST	2.63	P
USGS	13022500	2024-12-03 06:45	MST	2.63	P
USGS	13022500	2024-12-03 07:00	MST	2.63	P
USGS	13022500	2024-12-03 07:15	MST	2.62	P
USGS	13022500	2024-12-03 07:30	MST	2.62	P
USGS	13022500	2024-12-03 07:45	MST	2.63	P
USGS	13022500	2024-12-03 08:00	MST	2.63	P
USGS	13022500	2024-12-03 08:15	MST	2.63	P
USGS	13022500	2024-12-03 08:30	MST	2.63	P
USGS	13022500	2024-12-03 08:45	MST	2.64	P
USGS	13022500	2024-12-03 09:00	MST	2.64	P
USGS	13022500	2024-12-03 09:15	MST	2.65	P
USGS	13022500	2024-12-03 09:30	MST	2.65	P
USGS	13022500	2024-12-03 09:45	MST	2.65	P
USGS	13022500	2024-12-03 10:00	MST	2.65	P
USGS	13022500	2024-12-03 10:15	MST	2.66	P
USGS	13022500	2024-12-03 10:30	MST	2.66	P
USGS	13022500	2024-12-03 10:45	MST	2.66	P
USGS	13022500	2024-12-03 11:00	MST	2.66	P
USGS	13022500	2024-12-03 11:15	MST	2.67	P
USGS	13022500	2024-12-03 11:30	MST	2.67	P
USGS	13022500	2024-12-03 11:45	MST	2.68	P
USGS	13022500	2024-12-03 12:00	MST	2.68	P
USGS	13022500	2024-12-03 12:15	MST	2.68	P
USGS	13022500	2024-12-03 12:30	MST	2.68	P
USGS	13022500	2024-12-03 12:45	MST	2.68	P
USGS	13022500	2024-12-03 13:00	MST	2.68	P
USGS	13022500	2024-12-03 13:15	MST	2.67	P
USGS	13022500	2024-12-03 13:30	MST	2.67	P
USGS	13022500	2024-12-03 13:45	MST	2.67	P
USGS	13022500	2024-12-03 14:00	MST	2.66	P
USGS	13022500	2024-12-03 14:15	MST	2.65	P
USGS	13022500	2024-12-03 14:30	MST	2.65	P
USGS	13022500	2024-12-03 14:45	MST	2.64	P
USGS	13022500	2024-12-03 15:00	MST	2.64	P
USGS	13022500	2024-12-03 15:15	MST	2.63	P
USGS	13022500	2024-12-03 15:30	MST	2.63	P
USGS	13022500	2024-12-03 15:45	MST	2.63	P
USGS	13022500	2024-12-03 16:00	MST	2.63	P
USGS	13022500	2024-12-03 16:15	MST	2.63	P
USGS	13022500	2024-12-03 16:30	MST	2.63	P
USGS	13022500	2024-12-03 16:45	MST	2.62	P
USGS	13022500	2024-12-03 17:00	MST	2.62	P
USGS	13022500	2024-12-03 17:15	MST	2.62	P
USGS	13022500	2024-12-03 17:30	MST	2.62	P
USGS	13022500	2024-12-03 17:45	MST	2.62	P
USGS	13022500	2024-12-03 18:00	MST	2.61	P
USGS	13022500	2024-12-03 18:15	MST	2.61	P
USGS	13022500	2024-12-03 18:30	MST	2.61	P
USGS	13022500	2024-12-03 18:45	MST	2.61	P
USGS	13022500	2024-12-03 19:00	MST	2.60	P
USGS	13022500	2024-12-03 19:15	MST	2.60	P
USGS	13022500	2024-12-03 19:30	MST	2.60	P
USGS	13022500	2024-12-03 19:45	MST	2.60	P
USGS	13022500	2024-12-03 20:00	MST	2.60	P
USGS	13022500	2024-12-03 20:15	MST	2.60	P
USGS	13022500	2024-12-03 20:30	MST	2.61	P
USGS	13022500	2024-12-03 20:45	MST	2.61	P
USGS	13022500	2024-12-03 21:00	MST	2.61	P
USGS	13022500	2024-12-03 21:15	MST	2.61	P
USGS	13022500	2024-12-03 21:30	MST	2.62	P
USGS	13022500	2024-12-03 21:45	MST	2.62	P
USGS	13022500	2024-12-03 22:00	MST	2.63	P
USGS	13022500	2024-12-03 22:15	MST	2.64	P
USGS	13022500	2024-12-03 22:30	MST	2.65	P
USGS	13022500	2024-12-03 22:45	MST	2.66	P
USGS	13022500	2024-12-03 23:00	MST	2.68	P
USGS	13022500	2024-12-03 23:15	MST	2.69	P
USGS	13022500	2024-12-03 23:30	MST	2.69	P
USGS	13022500	2024-12-03 23:45	MST	2.69	P
USGS	13022500	2024-12-04 00:00	MST	2.69	P
USGS	13022500	2024-12-04 00:15	MST	2.68	P
USGS	13022500	2024-12-04 00:30	MST	2.68	P
USGS	13022500	2024-12-04 00:45	MST	2.68	P
USGS	13022500	2024-12-04 01:00	MST	2.68	P
USGS	13022500	2024-12-04 01:15	MST	2.68	P
USGS	13022500	2024-12-04 01:30	MST	2.68	P
USGS	13022500	2024-12-04 01:45	MST	2.67	P
